order_id,invoice_no,gross_amount,tds_section_legacy,tds_code_new,tds_amount,gst_rate,vendor_pan_masked,posted_at
ord_00160,INV-10000,44114.07,194C,,8822.81,18.00,PANNOTAVAIL,2026-01-31T00:00:00
ord_00476,INV-10001,15717.40,,,0,18.00,ABCP1001Z,2026-01-31T00:00:00
ord_00495,INV-10002,42223.70,194J,,4222.37,18.00,ABCP1002Z,2026-01-31T00:00:00
ord_00356,INV-10003,12592.63,,,0,18.00,PANNOTAVAIL,2026-02-01T00:00:00
ord_00386,INV-10004,47973.56,,,0,18.00,ABCP1004Z,2026-02-01T00:00:00
ord_00436,INV-10005,30551.54,,,0,18.00,ABCP1005Z,2026-02-01T00:00:00
ord_00055,INV-10006,9884.14,,,0,18.00,PANNOTAVAIL,2026-02-02T00:00:00
ord_00222,INV-10007,45749.74,,,0,18.00,ABCP1007Z,2026-02-02T00:00:00
ord_00385,INV-10008,33702.59,194A,,3370.26,18.00,ABCP1008Z,2026-02-02T00:00:00
ord_00550,INV-10009,30916.89,,,0,18.00,PANNOTAVAIL,2026-02-02T00:00:00
ord_00585,INV-10010,21968.45,,,0,18.00,ABCP1010Z,2026-02-02T00:00:00
ord_00005,INV-10011,8359.72,,,0,18.00,ABCP1011Z,2026-02-03T00:00:00
ord_00178,INV-10012,4376.68,,,0,18.00,PANNOTAVAIL,2026-02-03T00:00:00
ord_00331,INV-10013,20573.72,,,0,18.00,ABCP1013Z,2026-02-03T00:00:00
ord_00409,INV-10014,47594.26,,,0,18.00,ABCP1014Z,2026-02-03T00:00:00
ord_00295,INV-10015,19917.63,194J,,3983.53,18.00,PANNOTAVAIL,2026-02-04T00:00:00
ord_00353,INV-10016,11090.30,194H,,554.52,18.00,ABCP1016Z,2026-02-04T00:00:00
ord_00421,INV-10017,31582.30,194J,,3158.23,18.00,ABCP1017Z,2026-02-04T00:00:00
ord_00582,INV-10018,24565.18,194J,,4913.04,18.00,PANNOTAVAIL,2026-02-04T00:00:00
ord_00127,INV-10019,797.43,,,0,18.00,ABCP1019Z,2026-02-05T00:00:00
ord_00367,INV-10020,27710.51,,,0,18.00,ABCP1020Z,2026-02-05T00:00:00
ord_00490,INV-10021,18998.42,,,0,18.00,PANNOTAVAIL,2026-02-05T00:00:00
ord_00087,INV-10022,45847.80,,,0,18.00,ABCP1022Z,2026-02-06T00:00:00
ord_00097,INV-10023,49504.36,,,0,18.00,ABCP1023Z,2026-02-06T00:00:00
ord_00186,INV-10024,47258.58,,,0,18.00,PANNOTAVAIL,2026-02-06T00:00:00
ord_00217,INV-10025,22323.49,194J,,2232.35,18.00,ABCP1025Z,2026-02-06T00:00:00
ord_00428,INV-10026,28476.77,194C,,284.77,18.00,ABCP1026Z,2026-02-06T00:00:00
ord_00057,INV-10027,20705.77,,,0,18.00,PANNOTAVAIL,2026-02-07T00:00:00
ord_00080,INV-10028,34274.32,,,0,18.00,ABCP1028Z,2026-02-07T00:00:00
ord_00099,INV-10029,43099.74,194I,,4309.97,18.00,ABCP1029Z,2026-02-07T00:00:00
ord_00302,INV-10030,14418.61,,,0,18.00,PANNOTAVAIL,2026-02-07T00:00:00
ord_00425,INV-10031,33898.37,,,0,18.00,ABCP1031Z,2026-02-07T00:00:00
ord_00527,INV-10032,31431.95,,,0,18.00,ABCP1032Z,2026-02-07T00:00:00
ord_00532,INV-10033,38292.61,,,0,18.00,PANNOTAVAIL,2026-02-07T00:00:00
ord_00067,INV-10034,28860.67,,,0,18.00,ABCP1034Z,2026-02-08T00:00:00
ord_00071,INV-10035,3135.10,194H,,156.76,18.00,ABCP1035Z,2026-02-08T00:00:00
ord_00200,INV-10036,35301.64,,,0,18.00,PANNOTAVAIL,2026-02-08T00:00:00
ord_00430,INV-10037,46990.31,,,0,18.00,ABCP1037Z,2026-02-08T00:00:00
ord_00540,INV-10038,28156.46,194C,,281.56,18.00,ABCP1038Z,2026-02-08T00:00:00
ord_00590,INV-10039,9799.43,,,0,18.00,PANNOTAVAIL,2026-02-08T00:00:00
ord_00597,INV-10040,44629.06,194A,,4462.91,18.00,ABCP1040Z,2026-02-08T00:00:00
ord_00070,INV-10041,5438.68,,,0,18.00,ABCP1041Z,2026-02-09T00:00:00
