order_id,invoice_no,gross_amount,tds_section_legacy,tds_code_new,tds_amount,gst_rate,vendor_pan_masked,posted_at
ord_00182,INV-10000,22582.42,194H,,4516.48,18.00,PANNOTAVAIL,2026-01-31T00:00:00
ord_00186,INV-10001,28629.75,194C,,286.30,18.00,ABCP1001Z,2026-01-31T00:00:00
ord_00235,INV-10002,41746.45,,,0,18.00,ABCP1002Z,2026-01-31T00:00:00
ord_00239,INV-10003,27725.02,,,0,18.00,PANNOTAVAIL,2026-01-31T00:00:00
ord_00282,INV-10004,6635.25,,,0,18.00,ABCP1004Z,2026-01-31T00:00:00
ord_00288,INV-10005,11040.43,,,0,18.00,ABCP1005Z,2026-01-31T00:00:00
ord_00307,INV-10006,25004.06,194J,,5000.81,18.00,PANNOTAVAIL,2026-01-31T00:00:00
ord_00325,INV-10007,7063.41,,,0,18.00,ABCP1007Z,2026-01-31T00:00:00
ord_00048,INV-10008,41181.62,,,0,18.00,ABCP1008Z,2026-02-01T00:00:00
ord_00157,INV-10009,28950.11,,,0,18.00,PANNOTAVAIL,2026-02-01T00:00:00
ord_00218,INV-10010,40968.38,,,0,18.00,ABCP1010Z,2026-02-01T00:00:00
ord_00348,INV-10011,25943.88,,,0,18.00,ABCP1011Z,2026-02-01T00:00:00
ord_00403,INV-10012,4836.52,,,0,18.00,PANNOTAVAIL,2026-02-01T00:00:00
ord_00485,INV-10013,46714.76,,,0,18.00,ABCP1013Z,2026-02-01T00:00:00
ord_00036,INV-10014,39229.80,194C,,392.30,18.00,ABCP1014Z,2026-02-02T00:00:00
ord_00099,INV-10015,1694.78,,,0,18.00,PANNOTAVAIL,2026-02-02T00:00:00
ord_00167,INV-10016,42917.33,,,0,18.00,ABCP1016Z,2026-02-02T00:00:00
ord_00225,INV-10017,24792.47,,,0,18.00,ABCP1017Z,2026-02-02T00:00:00
ord_00300,INV-10018,16783.56,,,0,18.00,PANNOTAVAIL,2026-02-02T00:00:00
ord_00427,INV-10019,794.28,194J,,79.43,18.00,ABCP1019Z,2026-02-02T00:00:00
ord_00576,INV-10020,12396.09,,,0,18.00,ABCP1020Z,2026-02-02T00:00:00
ord_00102,INV-10021,21625.43,,,0,18.00,PANNOTAVAIL,2026-02-03T00:00:00
ord_00343,INV-10022,20118.12,,,0,18.00,ABCP1022Z,2026-02-03T00:00:00
ord_00005,INV-10023,7709.77,,,0,18.00,ABCP1023Z,2026-02-04T00:00:00
ord_00322,INV-10024,26657.95,,,0,18.00,PANNOTAVAIL,2026-02-04T00:00:00
ord_00370,INV-10025,9084.26,194A,,908.43,18.00,ABCP1025Z,2026-02-04T00:00:00
ord_00380,INV-10026,31429.51,,,0,18.00,ABCP1026Z,2026-02-04T00:00:00
ord_00512,INV-10027,2756.74,,,0,18.00,PANNOTAVAIL,2026-02-04T00:00:00
ord_00573,INV-10028,1558.41,,,0,18.00,ABCP1028Z,2026-02-04T00:00:00
ord_00590,INV-10029,21574.12,,,0,18.00,ABCP1029Z,2026-02-04T00:00:00
ord_00029,INV-10030,7011.27,194H,,1402.25,18.00,PANNOTAVAIL,2026-02-05T00:00:00
ord_00118,INV-10031,8699.46,,,0,18.00,ABCP1031Z,2026-02-05T00:00:00
ord_00146,INV-10032,15729.63,,,0,18.00,ABCP1032Z,2026-02-05T00:00:00
